"time","Room 1 - Actual","Room 1 - Set"
2024-02-01 14:31:00,19.4 °C,20 °C
2024-02-01 14:32:00,19.4 °C,20 °C
2024-02-01 14:34:00,19.5 °C,20 °C
2024-02-01 14:35:00,19.5 °C,20 °C
2024-02-01 14:36:00,19.5 °C,20 °C
2024-02-01 14:37:00,19.5 °C,20 °C
2024-02-01 14:39:00,19.5 °C,20 °C
2024-02-01 14:40:00,19.5 °C,20 °C
2024-02-01 14:41:00,19.5 °C,20 °C
2024-02-01 14:44:00,19.5 °C,20 °C
2024-02-01 14:45:00,19.6 °C,20 °C
2024-02-01 14:47:00,19.6 °C,20 °C
2024-02-01 14:48:00,19.6 °C,20 °C
2024-02-01 14:49:00,19.6 °C,20 °C
2024-02-01 14:51:00,19.6 °C,20 °C
2024-02-01 14:52:00,19.6 °C,20 °C
2024-02-01 14:54:00,19.6 °C,20 °C
2024-02-01 14:55:00,19.6 °C,20 °C
2024-02-01 14:56:00,19.6 °C,20 °C
2024-02-01 14:58:00,19.6 °C,20 °C
2024-02-01 15:00:00,19.7 °C,20 °C
2024-02-01 15:01:00,19.7 °C,20 °C
2024-02-01 15:02:00,19.7 °C,20 °C
2024-02-01 15:10:00,19.7 °C,20 °C
2024-02-01 15:11:00,19.7 °C,20 °C
2024-02-01 15:12:00,19.7 °C,20 °C
2024-02-01 15:13:00,19.7 °C,20 °C
2024-02-01 15:14:00,19.7 °C,20 °C
2024-02-01 15:15:00,19.7 °C,20 °C
2024-02-01 15:17:00,19.7 °C,20 °C
2024-02-01 15:18:00,19.7 °C,20 °C
2024-02-01 15:22:00,19.7 °C,20 °C
2024-02-01 15:24:00,19.7 °C,20 °C
2024-02-01 15:26:00,19.7 °C,20 °C
2024-02-01 15:28:00,19.8 °C,20 °C
2024-02-01 15:29:00,19.7 °C,20 °C
2024-02-01 15:32:00,19.8 °C,20 °C
2024-02-01 15:34:00,19.8 °C,20 °C
2024-02-01 15:37:00,19.8 °C,20 °C
2024-02-01 15:38:00,19.8 °C,20 °C
2024-02-01 15:39:00,19.8 °C,20 °C
2024-02-01 15:42:00,19.8 °C,20 °C
2024-02-01 15:43:00,19.8 °C,20 °C
2024-02-01 15:53:00,19.8 °C,20 °C
2024-02-01 15:54:00,19.8 °C,20 °C
2024-02-01 15:55:00,19.8 °C,20 °C
2024-02-01 15:57:00,19.8 °C,20 °C
2024-02-01 15:59:00,19.8 °C,20 °C
2024-02-01 16:00:00,19.8 °C,20 °C
2024-02-01 16:05:00,19.8 °C,20 °C
2024-02-01 16:14:00,19.8 °C,20 °C
2024-02-01 16:17:00,19.8 °C,20 °C
2024-02-01 16:22:00,19.8 °C,20 °C
2024-02-01 16:28:00,19.8 °C,20 °C
2024-02-01 16:29:00,19.8 °C,20 °C
2024-02-01 16:30:00,19.8 °C,20 °C
2024-02-01 16:34:00,19.8 °C,20 °C
2024-02-01 16:38:00,19.8 °C,20 °C
2024-02-01 16:44:00,19.8 °C,20 °C
2024-02-01 16:45:00,19.8 °C,20 °C
2024-02-01 16:46:00,19.9 °C,20 °C
2024-02-01 16:47:00,19.9 °C,20 °C
2024-02-01 16:48:00,19.9 °C,20 °C
2024-02-01 16:49:00,19.9 °C,20 °C
2024-02-01 16:51:00,19.9 °C,20 °C
2024-02-01 16:53:00,19.9 °C,20 °C
2024-02-01 16:59:00,19.9 °C,20 °C
2024-02-01 17:00:00,19.9 °C,20 °C
2024-02-01 17:01:00,19.9 °C,20 °C
2024-02-01 17:09:00,19.9 °C,20 °C
